source_path	archive_path	sha256	bytes	main_comparison	disposition	destination_path
/home/ubuntu/workspace/quick_hack/.gitignore	quick_hack/.gitignore	b42e8e70aad76a25240fa006501c164675beccdf914b57163aab21c463e45975	292	different	retain_current_main	quick-hack-recovery-20260920.tar.gz::quick_hack/.gitignore
/home/ubuntu/workspace/quick_hack/AGENTS.md	quick_hack/AGENTS.md	faf8f5af6c645cbf77721398695f4e36302dcf8e9d171bab13e11a8239c0a9cc	2056	different	retain_current_main	quick-hack-recovery-20260920.tar.gz::quick_hack/AGENTS.md
/home/ubuntu/workspace/quick_hack/README.md	quick_hack/README.md	cdeb6fce3b4b0b6e3d730b955b1a0b62fe96f413ab47d92c2d851cc12b695e9d	10398	different	retain_current_main	quick-hack-recovery-20260920.tar.gz::quick_hack/README.md
/home/ubuntu/workspace/quick_hack/STATUS.md	quick_hack/STATUS.md	107a63713f44148f30877f27d6b41c06e3c443710d35388d6736d680f2af0104	2613	different	retain_current_main	quick-hack-recovery-20260920.tar.gz::quick_hack/STATUS.md
/home/ubuntu/workspace/quick_hack/animation/README.md	quick_hack/animation/README.md	88d99822ca1f11c509a2ad4f43b776c1abbe9bec4ed48fe168fb65189ea0242c	1830	identical	already_integrated_duplicate	animation/README.md
/home/ubuntu/workspace/quick_hack/animation/poster.jpg	quick_hack/animation/poster.jpg	5546dbdcf94b45479d2896212c48bbbe6fe8046fa0d333ab11d983559c63e622	108619	identical	already_integrated_duplicate	animation/poster.jpg
/home/ubuntu/workspace/quick_hack/animation/render.py	quick_hack/animation/render.py	8550f5eb411e22c08a5fdc3e18832e0a54ffaaa99479fa17fbe11be4f2d9143e	15202	identical	already_integrated_duplicate	animation/render.py
/home/ubuntu/workspace/quick_hack/animation/storyboard.jpg	quick_hack/animation/storyboard.jpg	4d7aadac5a7765627f6158845799ff58228dc5c0b631e3036f415f51928ede5c	241505	identical	already_integrated_duplicate	animation/storyboard.jpg
/home/ubuntu/workspace/quick_hack/animation/trans_splicing_30s.mp4	quick_hack/animation/trans_splicing_30s.mp4	871b9dbd46ed27316280c8d3ac0e8f9ca6b0c29248e77f4f982f125985cd0c0e	1899310	identical	already_integrated_duplicate	animation/trans_splicing_30s.mp4
/home/ubuntu/workspace/quick_hack/animation/v2/SOURCES.md	quick_hack/animation/v2/SOURCES.md	227f584afae2b35b1a50efc137896deb6ea95143669c3f3473d32eebd2a9ebca	4010	identical	already_integrated_duplicate	animation/v2/SOURCES.md
